request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 in full on 2025-08-03. This is safe and keeps at least IDR 24768300 available throughout the forecast.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 in full on 2026-07-05. This is safe and keeps at least ZAR 20500 available throughout the forecast.
request_28,281.89,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1100 minimum protected.
request_29,1457.66,affordable_with_plan,full_payment,2025-11-04:51524,,none,Pay ZAR 51524 today. This keeps at least ZAR 28300 available. Balance is tightest on 2026-02-02.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available. Balance is tightest on 2026-07-03."
request_31,2894443.04,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,"Wait until 2024-10-15, then pay IDR 18164000 in full. Paying sooner would take the balance below the IDR 16588900 minimum."
request_32,14175.20,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Wait until 2025-04-15, then pay ZAR 40018 in full. Paying sooner would take the balance below the ZAR 35700 minimum."
request_33,27054.29,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 2026-03-15, then pay INR 118000 in full. Paying sooner would take the balance below the INR 102100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 in full on 2024-12-04. This is safe and keeps at least INR 138500 available throughout the forecast.
request_35,25070.02,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, then pay INR 212000 in full. Paying sooner would take the balance below the INR 106400 minimum."
request_36,615.13,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 2026-09-15, then pay USD 3954 in full. Paying sooner would take the balance below the USD 2400 minimum."
request_37,4880085.52,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Wait until 2024-05-15, then pay IDR 14649000 in full. Paying sooner would take the balance below the IDR 17056200 minimum."
request_38,182.82,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Wait until 2025-10-15, then pay EUR 971.30 in full. Paying sooner would take the balance below the EUR 400 minimum."
request_39,50841.31,affordable_later,wait,2026-05-15:208600,2026-05-15,none,"Wait until 2026-05-15, then pay INR 208600 in full. Paying sooner would take the balance below the INR 213400 minimum."
request_40,332.46,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1500 minimum protected.
request_41,5695449.62,affordable_later,wait,2025-12-15:38760000,2025-12-15,none,"Wait until 2025-12-15, then pay IDR 38760000 in full. Paying sooner would take the balance below the IDR 25366600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 in full on 2026-01-05. This is safe and keeps at least INR 113100 available throughout the forecast.
request_43,8443757.75,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 2024-11-15, then pay IDR 43339000 in full. Paying sooner would take the balance below the IDR 21398000 minimum."
request_44,37186.61,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Wait until 2025-04-15, then pay INR 95800 in full. Paying sooner would take the balance below the INR 82900 minimum."
request_45,3614476.62,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 2026-09-15, then pay IDR 21983000 in full. Paying sooner would take the balance below the IDR 11149800 minimum."
request_46,36858.40,affordable_with_plan,partial_payment,2024-12-03:36858.40|2024-12-15:12591.60,2024-12-15,none,Pay INR 36858.40 today and the remaining INR 12591.60 on 2024-12-15. This completes the full request and keeps the INR 84000 minimum protected. Balance is tightest on 2024-12-13.
request_47,6146709.46,affordable_with_plan,full_payment,2025-05-05:38114000,,none,Pay IDR 38114000 today. This keeps at least IDR 30049000 available. Balance is tightest on 2025-08-01.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 in full on 2026-07-25. This is safe and keeps at least INR 71300 available throughout the forecast.
request_49,11974188.05,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-22. None of the available options keeps the IDR 20275700 minimum protected.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 in full on 2025-08-06. This is safe and keeps at least INR 99700 available throughout the forecast.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 in full on 2026-01-03. This is safe and keeps at least IDR 7811000 available throughout the forecast.
request_52,18701.97,affordable_with_plan,full_payment,2024-06-05:28870,2024-06-15,none,Pay INR 28870 today. This keeps at least INR 41500 available. Balance is tightest on 2024-06-10.
request_53,477.89,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2100 available. Balance is tightest on 2025-11-14."
request_54,2064.79,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37000 minimum protected.
request_55,125909.04,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-15,reduce_to:event_5167:2750,"Use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124300 available. Balance is tightest on 2026-06-14."
request_56,623.64,affordable_with_plan,partial_payment,2025-02-03:623.64|2025-02-15:257.92,2025-02-15,none,Pay USD 623.64 today and the remaining USD 257.92 on 2025-02-15. This completes the full request and keeps the USD 2100 minimum protected. Balance is tightest on 2025-02-13.
request_57,12657.18,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 61446 in full. Paying sooner would take the balance below the ZAR 42700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 in full on 2024-12-07. This is safe and keeps at least IDR 14433900 available throughout the forecast.
request_59,115099.27,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132600 available. Balance is tightest on 2025-07-31."
request_60,134.24,affordable_with_plan,full_payment,2026-01-06:199.89,2026-02-15,none,Pay USD 199.89 today. This keeps at least USD 400 available. Balance is tightest on 2026-01-14.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36700 available. Balance is tightest on 2024-05-31."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 in full on 2025-08-05. This is safe and keeps at least USD 1300 available throughout the forecast.
request_63,39906.07,affordable_with_plan,partial_payment,2026-07-07:39906.07|2026-09-15:303993.93,2026-09-15,none,Pay INR 39906.07 today and the remaining INR 303993.93 on 2026-09-15. This completes the full request and keeps the INR 153500 minimum protected. Balance is tightest on 2026-07-14.
request_64,42789.37,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-15,none,"Use 3 installments of INR 22082.67, starting 2024-06-11. This leaves at least INR 36100 available. Balance is tightest on 2024-06-13."
request_65,5782.77,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 in full on 2026-04-03. This is safe and keeps at least INR 80700 available throughout the forecast.
